Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
NIC1252	UNKNOWN		UNKNOWN	58478770	57676369	13800057	11.3047	56957613	1241512	38162	13298	10195	8707	8585	8254	8323	8248	9717	7575	6110	5823	6242	7083	7627	5744170	4770733	3645638	2677424	1996966	1214574	866645	557211	359179	243657	
NIC1254	UNKNOWN		UNKNOWN	74681730	74204302	17298395	10.3154	72658289	1683566	61466	22680	15793	11908	11003	9475	9642	8767	8561	7598	6892	6269	6527	7332	7940	6719589	5589607	4287710	3168889	2341262	1366009	954164	598391	454078	422262	
NIC1257	UNKNOWN		UNKNOWN	67293253	66611111	13431783	10.2391	65438071	1587414	49882	16601	12259	9759	9204	8103	8443	8159	8756	7665	6850	5885	5875	6297	6579	6517798	5282669	4024029	2938498	2100982	1331796	881750	534019	340355	234779	
NIC1268	UNKNOWN		UNKNOWN	31584059	30843626	6950067	8.22394	30741787	736009	21694	7478	5286	4090	3696	3284	3210	3086	3737	2803	1990	1621	1677	1739	1779	2747475	2199174	1666377	1221616	897852	569284	399717	256956	167889	115178	
NIC1270	UNKNOWN		UNKNOWN	63455840	62679994	11303865	11.0682	61720936	1475755	45297	15544	12307	10320	9983	8991	9419	9667	12460	8324	5787	5234	5304	5567	5907	6227342	5058603	3861639	2819555	2045361	1307305	880525	547598	351975	240902	
NIC1272	UNKNOWN		UNKNOWN	35533897	35279166	2498693	10.7945	34695537	713141	24782	8978	6838	5550	5452	4782	4842	4489	4471	4164	3710	3653	3788	3912	4034	3124561	2659057	2060303	1544155	1195098	681365	493226	317843	222934	181919	
NIC1275	UNKNOWN		UNKNOWN	37267793	37042180	3106504	11.298	36462552	684311	23275	8683	6725	5604	5394	4997	4933	4679	4842	4354	4421	4107	4179	4092	4008	3124034	2675946	2072444	1563812	1237246	674133	508573	331043	217657	165623	
NIC1276	UNKNOWN		UNKNOWN	38984571	38521997	6765726	12.6007	37909898	907165	27237	9184	6765	5894	5715	5328	5506	5964	7288	5427	4007	3644	3755	3891	3923	3629119	2910374	2198513	1589443	1144547	727541	489610	304440	197157	138970	
NIC1277	UNKNOWN		UNKNOWN	73594068	73159203	13530999	9.86998	71537623	1750060	58793	19624	13967	11650	10347	9161	9442	9351	9297	8236	7480	6510	6581	6900	7327	7352746	6004231	4593669	3352919	2407108	1530351	1015455	626238	417752	324890	
NIC1278	UNKNOWN		UNKNOWN	51769439	51257096	11588566	9.53475	50446587	1115724	34734	11698	8620	7056	6600	5907	6151	5628	5692	4951	4387	3978	4336	4695	4982	4795617	3953928	3008600	2200011	1619411	954871	664034	414904	265420	183720	
NIC129	UNKNOWN		UNKNOWN	58460943	57325192	8765022	13.3834	57073241	1108399	39117	14759	12139	10965	11035	10138	10715	10982	11538	10753	10047	10245	10156	9938	9844	5153826	4574647	3702671	2906787	2400805	1373611	1053169	705397	504728	435219	
NIC1290	UNKNOWN		UNKNOWN	53604394	53125854	11889921	9.34883	52220178	1189682	36383	12817	9296	7931	7207	6567	6892	6746	8205	5673	4034	3514	3494	3846	4233	5115079	4204188	3204716	2346945	1720813	1033954	708461	439827	282168	201181	
NIC1293	UNKNOWN		UNKNOWN	58602138	57886790	12990707	9.20797	57107096	1255558	41756	14755	10792	9002	8042	7395	7701	7590	8259	6144	4562	4565	4690	5180	5608	5621819	4717222	3650186	2708091	2036664	1206559	856250	540413	348890	248432	
NIC1300	UNKNOWN		UNKNOWN	33115843	32812329	5783585	9.4074	32231921	763767	23966	8113	5717	4492	4125	3665	3724	3409	3617	3241	2867	2528	2402	2575	2771	2985375	2421372	1841738	1344896	975908	608857	412314	257548	163484	111863	
NIC1301	UNKNOWN		UNKNOWN	71390839	70866434	11808232	11.7924	69485477	1583829	46604	15972	12591	10820	10188	9891	10276	10507	13434	9360	7047	6567	7290	8036	8580	6960567	5721229	4359077	3176169	2315065	1419856	956859	594663	379578	263272	
NIC1305	UNKNOWN		UNKNOWN	33094470	32783067	8198378	9.79312	32246250	724086	21735	7249	5476	4411	4016	3759	3859	3698	3861	3084	2504	2430	2477	2783	3052	2990544	2436764	1836357	1334869	973289	584052	402277	252403	161901	113406	
NIC1307	UNKNOWN		UNKNOWN	63677689	62703474	14302148	9.6922	62034414	1397499	45096	15008	11047	9091	8569	7653	8049	7488	8106	6334	5088	4544	4857	5417	6065	5761980	4753993	3628333	2678303	1983814	1192615	845791	540414	349367	240361	
NIC1309	UNKNOWN		UNKNOWN	49949325	49193421	10621782	9.1625	48638877	1127712	36374	12632	8848	7379	6644	6028	6151	5693	6149	4531	3655	3145	3608	3805	4362	4473910	3698235	2825731	2092897	1559247	930491	656759	417746	270567	195262	
NIC1313	UNKNOWN		UNKNOWN	63268120	62752248	13848673	9.0688	61624768	1406481	43742	14818	10734	8853	8016	7125	6790	6493	6480	5501	4834	4418	4522	4900	5546	5774687	4730631	3574918	2597125	1896084	1125489	775228	482468	310963	219912	
