Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
BRC20522	UNKNOWN		UNKNOWN	66627079	66108814	11121369	3.85908	64410709	2018307	109769	20974	8345	4913	3688	3359	3463	3455	4421	2925	2066	1919	2034	2048	1994	5809068	4924478	3877569	2920929	2167921	1304583	919830	578744	346125	205073	
BRC20524	UNKNOWN		UNKNOWN	67722137	67346900	8992088	5.02752	65574859	1958507	96408	18817	8432	5908	5253	5131	5271	5750	7684	3792	2068	1793	1868	1845	1573	6002504	5092356	4001978	2997818	2213280	1327480	906313	560328	332538	192407	
BRC20529	UNKNOWN		UNKNOWN	24256477	24143441	1933472	3.55307	23501785	692389	32977	5488	2248	1501	1071	960	922	950	1090	829	694	805	882	951	941	2160570	1825522	1423340	1057235	773271	456130	312941	193039	115297	69690	
BRC20530	UNKNOWN		UNKNOWN	32124392	31882555	2965947	4.27009	31114224	922189	46522	8704	3885	2535	2200	2129	2089	1997	2285	1749	1602	1424	1407	1234	1018	2984220	2601828	2092368	1601760	1197392	722248	504982	317123	192719	116109	
BRC20531	UNKNOWN		UNKNOWN	28117188	27959231	2403716	2.60285	27260309	790703	37201	6408	3281	1660	1177	891	897	889	948	826	885	890	829	920	930	2587717	2252269	1810346	1380733	1035907	620178	437798	273730	165974	98485	
BRC20532	UNKNOWN		UNKNOWN	36343246	36155304	3246203	3.47302	35209384	1031427	52381	9523	3880	2250	1798	1421	1277	1235	1350	1355	1373	1496	1702	2066	1940	3283761	2870799	2296436	1759346	1334245	786371	558158	352788	214696	130957	
BRC20533	UNKNOWN		UNKNOWN	27483120	27344707	2171406	2.52147	26601359	809292	42751	8206	3577	1919	1347	1031	1021	844	1051	863	664	694	731	848	694	2442979	2133838	1712311	1322348	1013414	607045	430498	272536	169471	101606	
BRC20534	UNKNOWN		UNKNOWN	31541840	31363287	2757709	3.80829	30535729	913975	47248	8500	3584	2115	1553	1204	1334	1180	1452	1354	1478	1593	1699	1950	1767	2914516	2557067	2053145	1580238	1193306	714688	505067	317909	192701	115585	
BRC20535	UNKNOWN		UNKNOWN	33882804	32026003	2756879	3.31601	32820301	967318	46433	8565	3621	2085	1621	1304	1143	1215	1160	1332	1492	1597	1671	1748	1897	3168307	2746730	2213702	1719556	1316755	808512	569924	363395	221088	131178	
BRC20536	UNKNOWN		UNKNOWN	33084196	32898121	2703213	4.18626	32053609	937041	45621	8165	3723	2492	1875	1605	1496	1402	1497	1519	1580	1716	1870	2126	1755	3091280	2685870	2130542	1615387	1205984	709545	494265	306563	184790	109862	
BRC20537	UNKNOWN		UNKNOWN	34073676	33902505	2467002	6.24647	33011281	955716	47189	9525	4459	3347	3488	3726	3706	3488	4113	2291	1504	1659	1657	1856	1624	3004325	2623378	2103374	1624873	1253022	732662	519936	324917	197277	123894	
