Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
ECA1761	UNKNOWN		UNKNOWN	28142509	27828456	4760704	10.0335	27197595	803755	45771	22841	16463	12284	10287	8087	6071	4555	2751	1826	1373	811	495	480	521	2065851	1766614	1411836	1059977	810762	490384	338104	215058	136710	86472	
ECA1769	UNKNOWN		UNKNOWN	50402373	49608480	3565251	18.577	48581439	1399720	88375	43970	35751	29302	26076	22174	18512	16121	12425	10655	8918	7861	7157	6989	6623	4249740	3769453	3074580	2394151	1866200	1193788	842667	559576	366640	247052	
ECA1793	UNKNOWN		UNKNOWN	26194558	25839956	4112869	11.4859	25263959	799516	44921	20560	15192	10805	8743	6796	5334	4125	2730	1718	1293	795	550	482	426	1821882	1499608	1168986	857607	624631	397310	261071	160821	100054	62118	
ECA1805	UNKNOWN		UNKNOWN	40965859	40754104	3234702	24.972	39418471	1162989	67520	33055	26848	22655	20204	17924	15943	14546	12212	10758	9989	8719	8198	8013	7852	3284737	2804422	2269774	1744918	1349282	863481	580411	372252	243853	162722	
ECA1807	UNKNOWN		UNKNOWN	35599572	35294934	2519888	16.0698	34357227	977815	58148	30505	23624	19752	17359	14550	11919	9935	7721	6014	5349	4731	4150	3574	3527	2897479	2556257	2118209	1654261	1315124	837715	603551	399258	262747	177636	
ECA1815	UNKNOWN		UNKNOWN	36250263	36007215	2218733	18.6245	34966361	1011973	61639	30981	23780	19611	16940	14645	11741	9943	8129	6813	5469	4838	4052	3904	3586	2776426	2382129	1938363	1488683	1173079	727340	509018	332218	214447	140157	
ECA1821	UNKNOWN		UNKNOWN	46195301	44002038	3347826	17.6461	44611534	1243629	70809	35007	27486	22478	21747	17545	15605	12874	10380	9184	7430	6680	5828	5642	5518	3762074	3321309	2709295	2072167	1598711	1053530	757310	526413	376008	296894	
ECA1825	UNKNOWN		UNKNOWN	35078986	31117051	1912020	29.9899	33888412	856047	48470	24072	19817	17672	16378	15063	13575	12601	11242	10227	9466	8974	8592	8320	8152	2445796	2106421	1697807	1306305	1051706	662632	492153	363048	303672	320933	
ECA1843	UNKNOWN		UNKNOWN	48874680	27054169	4968512	7.99869	47648663	1088966	53316	20975	15066	11280	9644	7453	6412	4197	2759	1784	1045	682	401	273	188	2022030	1745009	1417673	1087769	854952	669718	585347	613672	798749	1231270	
ECA1851	UNKNOWN		UNKNOWN	45029784	42972425	3321740	24.7516	43325323	1258896	73939	36948	28508	24738	23454	20420	18432	15992	13649	12190	11471	10515	10179	10044	9922	3623278	3142143	2564155	1985926	1568680	1028715	703060	470999	334261	267326	
